sep=,
Steam Sales data for Sauropod Studio: 2016-12-22 - 2017-01-21

Date,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,CZ,Czech Republic,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.0733,14.6267,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,DE,Germany,Western Europe,17,5,12,19.99,16.99,EUR,301.3641,88.4995,-33.9531,178.9115,
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,DK,Denmark,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Humble Bundle
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,DK,Denmark,Western Europe,5,0,5,19.99,16.99,EUR,88.6200,0.0000,-17.7345,70.8855,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,ES,Spain,Western Europe,4,0,4,19.99,16.99,EUR,70.9235,0.0000,-12.3146,58.6089,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,FI,Finland,Western Europe,2,1,1,19.99,16.99,EUR,35.5900,17.7000,-3.4643,14.4257,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,FR,France,Western Europe,7,1,6,19.99,16.99,EUR,123.7661,17.7000,-17.6674,88.3987,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,8,0,8,14.99,12.74,GBP,124.6729,0.0000,-20.7460,103.9269,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,HK,Hong Kong,Asia,1,0,1,119.00,101.15,HKD,13.0500,0.0000,0.0000,13.0500,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,IT,Italy,Western Europe,1,1,0,19.99,16.99,EUR,17.7000,17.7000,0.0000,0.0000,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,MX,Mexico,Latin America,1,0,1,179.99,152.99,MXN,7.2576,0.0000,0.0000,7.2576,
